run_id,timestamp,tick,device_id,device_type,metric,value,blocked
run_1,1773412438.865486,1,device-1,smart_lock,traffic_rate,24.1355,0
run_1,1773412438.865486,1,device-1,smart_lock,cpu_load,28.8893,0
run_1,1773412438.865486,1,device-1,smart_lock,memory_usage,43.1833,0
run_1,1773412438.865486,1,device-1,smart_lock,temperature,41.5437,0
run_1,1773412438.865486,1,device-1,smart_lock,battery_level,98.5154,0
run_1,1773412438.9371328,1,device-2,smart_bulb,traffic_rate,13.0991,0
run_1,1773412438.9371328,1,device-2,smart_bulb,cpu_load,43.1899,0
run_1,1773412438.9371328,1,device-2,smart_bulb,memory_usage,51.4979,0
run_1,1773412438.9371328,1,device-2,smart_bulb,temperature,47.4699,0
run_1,1773412438.9666028,1,device-3,thermostat,traffic_rate,23.378,0
run_1,1773412438.9666028,1,device-3,thermostat,cpu_load,21.9126,0
run_1,1773412438.9666028,1,device-3,thermostat,memory_usage,44.0937,0
run_1,1773412438.9666028,1,device-3,thermostat,temperature,46.3152,0
run_1,1773412440.9900882,2,device-1,smart_lock,traffic_rate,20.2083,0
run_1,1773412440.9900882,2,device-1,smart_lock,cpu_load,30.1179,0
run_1,1773412440.9900882,2,device-1,smart_lock,memory_usage,38.4021,0
run_1,1773412440.9900882,2,device-1,smart_lock,temperature,52.0184,0
run_1,1773412440.9900882,2,device-1,smart_lock,battery_level,79.7235,0
run_1,1773412441.019958,2,device-2,smart_bulb,traffic_rate,21.52,0
run_1,1773412441.019958,2,device-2,smart_bulb,cpu_load,32.6175,0
run_1,1773412441.019958,2,device-2,smart_bulb,memory_usage,39.1964,0
run_1,1773412441.019958,2,device-2,smart_bulb,temperature,39.5929,0
run_1,1773412441.0379179,2,device-3,thermostat,traffic_rate,19.2153,0
run_1,1773412441.0379179,2,device-3,thermostat,cpu_load,40.0034,0
run_1,1773412441.0379179,2,device-3,thermostat,memory_usage,58.2688,0
run_1,1773412441.0379179,2,device-3,thermostat,temperature,37.5803,0
run_1,1773412443.0554,3,device-1,smart_lock,traffic_rate,10.404,0
run_1,1773412443.0554,3,device-1,smart_lock,cpu_load,33.8566,0
run_1,1773412443.0554,3,device-1,smart_lock,memory_usage,52.885,0
run_1,1773412443.0554,3,device-1,smart_lock,temperature,47.2223,0
run_1,1773412443.0554,3,device-1,smart_lock,battery_level,99.0974,0
run_1,1773412443.0853813,3,device-2,smart_bulb,traffic_rate,18.1473,0
run_1,1773412443.0853813,3,device-2,smart_bulb,cpu_load,16.3905,0
run_1,1773412443.0853813,3,device-2,smart_bulb,memory_usage,50.0319,0
run_1,1773412443.0853813,3,device-2,smart_bulb,temperature,37.1584,0
run_1,1773412443.1051855,3,device-3,thermostat,traffic_rate,12.9554,0
run_1,1773412443.1051855,3,device-3,thermostat,cpu_load,40.5356,0
run_1,1773412443.1051855,3,device-3,thermostat,memory_usage,59.1017,0
run_1,1773412443.1051855,3,device-3,thermostat,temperature,48.2739,0
run_1,1773412445.1250052,4,device-1,smart_lock,traffic_rate,20.6407,0
run_1,1773412445.1250052,4,device-1,smart_lock,cpu_load,43.4045,0
run_1,1773412445.1250052,4,device-1,smart_lock,memory_usage,30.3073,0
run_1,1773412445.1250052,4,device-1,smart_lock,temperature,44.3926,0
run_1,1773412445.1250052,4,device-1,smart_lock,battery_level,76.8726,0
run_1,1773412445.159263,4,device-2,smart_bulb,traffic_rate,17.8739,0
run_1,1773412445.159263,4,device-2,smart_bulb,cpu_load,37.0936,0
run_1,1773412445.159263,4,device-2,smart_bulb,memory_usage,57.9674,0
run_1,1773412445.159263,4,device-2,smart_bulb,temperature,45.5754,0
run_1,1773412445.1812048,4,device-3,thermostat,traffic_rate,19.8451,0
run_1,1773412445.1812048,4,device-3,thermostat,cpu_load,23.8746,0
run_1,1773412445.1812048,4,device-3,thermostat,memory_usage,52.2308,0
run_1,1773412445.1812048,4,device-3,thermostat,temperature,35.6526,0
run_1,1773412447.2037783,5,device-1,smart_lock,traffic_rate,11.3147,0
run_1,1773412447.2037783,5,device-1,smart_lock,cpu_load,24.0749,0
run_1,1773412447.2037783,5,device-1,smart_lock,memory_usage,47.4525,0
run_1,1773412447.2037783,5,device-1,smart_lock,temperature,50.7349,0
run_1,1773412447.2037783,5,device-1,smart_lock,battery_level,85.9309,0
run_1,1773412447.234802,5,device-2,smart_bulb,traffic_rate,10.9987,0
run_1,1773412447.234802,5,device-2,smart_bulb,cpu_load,41.1955,0
run_1,1773412447.234802,5,device-2,smart_bulb,memory_usage,59.0003,0
run_1,1773412447.234802,5,device-2,smart_bulb,temperature,40.6659,0
run_1,1773412447.254833,5,device-3,thermostat,traffic_rate,19.1963,0
run_1,1773412447.254833,5,device-3,thermostat,cpu_load,30.2885,0
run_1,1773412447.254833,5,device-3,thermostat,memory_usage,57.299,0
run_1,1773412447.254833,5,device-3,thermostat,temperature,52.9945,0
run_1,1773412449.2729452,6,device-1,smart_lock,traffic_rate,14.6868,0
run_1,1773412449.2729452,6,device-1,smart_lock,cpu_load,34.5154,0
run_1,1773412449.2729452,6,device-1,smart_lock,memory_usage,53.9114,0
run_1,1773412449.2729452,6,device-1,smart_lock,temperature,42.6992,0
run_1,1773412449.2729452,6,device-1,smart_lock,battery_level,70.6686,0
run_1,1773412449.3043964,6,device-2,smart_bulb,traffic_rate,20.9211,0
run_1,1773412449.3043964,6,device-2,smart_bulb,cpu_load,43.0709,0
run_1,1773412449.3043964,6,device-2,smart_bulb,memory_usage,51.5364,0
run_1,1773412449.3043964,6,device-2,smart_bulb,temperature,43.3189,0
run_1,1773412449.3261364,6,device-3,thermostat,traffic_rate,20.581,0
run_1,1773412449.3261364,6,device-3,thermostat,cpu_load,44.7016,0
run_1,1773412449.3261364,6,device-3,thermostat,memory_usage,59.0104,0
run_1,1773412449.3261364,6,device-3,thermostat,temperature,52.8135,0
run_1,1773412451.3483334,7,device-1,smart_lock,traffic_rate,23.2207,0
run_1,1773412451.3483334,7,device-1,smart_lock,cpu_load,43.9097,0
run_1,1773412451.3483334,7,device-1,smart_lock,memory_usage,37.2587,0
run_1,1773412451.3483334,7,device-1,smart_lock,temperature,39.4224,0
run_1,1773412451.3483334,7,device-1,smart_lock,battery_level,82.9228,0
run_1,1773412451.3791747,7,device-2,smart_bulb,traffic_rate,12.4533,0
run_1,1773412451.3791747,7,device-2,smart_bulb,cpu_load,27.1823,0
run_1,1773412451.3791747,7,device-2,smart_bulb,memory_usage,53.7052,0
run_1,1773412451.3791747,7,device-2,smart_bulb,temperature,47.6444,0
run_1,1773412451.3993013,7,device-3,thermostat,traffic_rate,22.3162,0
run_1,1773412451.3993013,7,device-3,thermostat,cpu_load,43.1125,0
run_1,1773412451.3993013,7,device-3,thermostat,memory_usage,39.1641,0
run_1,1773412451.3993013,7,device-3,thermostat,temperature,36.5953,0
run_1,1773412453.4186192,8,device-1,smart_lock,traffic_rate,10.742,0
run_1,1773412453.4186192,8,device-1,smart_lock,cpu_load,21.5512,0
run_1,1773412453.4186192,8,device-1,smart_lock,memory_usage,59.9821,0
run_1,1773412453.4186192,8,device-1,smart_lock,temperature,52.5394,0
run_1,1773412453.4186192,8,device-1,smart_lock,battery_level,99.504,0
run_1,1773412453.4510825,8,device-2,smart_bulb,traffic_rate,89.4789,0
run_1,1773412453.4510825,8,device-2,smart_bulb,cpu_load,89.2928,0
run_1,1773412453.4510825,8,device-2,smart_bulb,memory_usage,94.3619,0
